stock_code,stock_name,projected_weight_pct,closeweight_data_date,import_time
600958.SH,东方证券,0.178,2026-06-15,20260701-0918
600989.SH,宝丰能源,0.177,2026-06-15,20260701-0918
600999.SH,招商证券,0.247,2026-06-15,20260701-0918
601006.SH,大秦铁路,0.218,2026-06-15,20260701-0918
601009.SH,南京银行,0.254,2026-06-15,20260701-0918
601012.SH,隆基绿能,0.292,2026-06-15,20260701-0918
601018.SH,宁波港,0.048,2026-06-15,20260701-0918
601021.SH,春秋航空,0.085,2026-06-15,20260701-0918
601058.SH,赛轮轮胎,0.123,2026-06-15,20260701-0918
601059.SH,信达证券,0.054,2026-06-15,20260701-0918
601066.SH,中信建投,0.121,2026-06-15,20260701-0918
601077.SH,渝农商行,0.129,2026-06-15,20260701-0918
601088.SH,中国神华,0.429,2026-06-15,20260701-0918
601100.SH,恒立液压,0.224,2026-06-15,20260701-0918
601111.SH,中国国航,0.109,2026-06-15,20260701-0918
601117.SH,中国化学,0.101,2026-06-15,20260701-0918
601127.SH,赛力斯,0.201,2026-06-15,20260701-0918
601136.SH,首创证券,0.028,2026-06-15,20260701-0918
601138.SH,工业富联,1.049,2026-06-15,20260701-0918
601166.SH,兴业银行,1.111,2026-06-15,20260701-0918
601169.SH,北京银行,0.279,2026-06-15,20260701-0918
601186.SH,中国铁建,0.106,2026-06-15,20260701-0918
601211.SH,国泰海通,0.711,2026-06-15,20260701-0918
601225.SH,陕西煤业,0.353,2026-06-15,20260701-0918
601229.SH,上海银行,0.329,2026-06-15,20260701-0918
601238.SH,广汽集团,0.047,2026-06-15,20260701-0918
601288.SH,农业银行,0.691,2026-06-15,20260701-0918
601318.SH,中国平安,2.081,2026-06-15,20260701-0918
601319.SH,中国人保,0.082,2026-06-15,20260701-0918
601328.SH,交通银行,0.673,2026-06-15,20260701-0918
601336.SH,新华保险,0.19,2026-06-15,20260701-0918
601360.SH,三六零,0.118,2026-06-15,20260701-0918
601377.SH,兴业证券,0.152,2026-06-15,20260701-0918
601390.SH,中国中铁,0.172,2026-06-15,20260701-0918
601398.SH,工商银行,0.882,2026-06-15,20260701-0918
601456.SH,国联民生,0.107,2026-06-15,20260701-0918
601600.SH,中国铝业,0.304,2026-06-15,20260701-0918
601601.SH,中国太保,0.41,2026-06-15,20260701-0918
601607.SH,上海医药,0.065,2026-06-15,20260701-0918
601618.SH,中国中冶,0.069,2026-06-15,20260701-0918
601628.SH,中国人寿,0.219,2026-06-15,20260701-0918
601633.SH,长城汽车,0.08,2026-06-15,20260701-0918
601658.SH,邮储银行,0.203,2026-06-15,20260701-0918
601668.SH,中国建筑,0.353,2026-06-15,20260701-0918
601669.SH,中国电建,0.151,2026-06-15,20260701-0918
601688.SH,华泰证券,0.428,2026-06-15,20260701-0918
601689.SH,拓普集团,0.193,2026-06-15,20260701-0918
601698.SH,中国卫通,0.15,2026-06-15,20260701-0918
601727.SH,上海电气,0.167,2026-06-15,20260701-0918
601728.SH,中国电信,0.338,2026-06-15,20260701-0918
601766.SH,中国中车,0.252,2026-06-15,20260701-0918
601788.SH,光大证券,0.103,2026-06-15,20260701-0918
601800.SH,中国交建,0.081,2026-06-15,20260701-0918
601816.SH,京沪高铁,0.515,2026-06-15,20260701-0918
601818.SH,光大银行,0.213,2026-06-15,20260701-0918
601825.SH,沪农商行,0.179,2026-06-15,20260701-0918
601838.SH,成都银行,0.183,2026-06-15,20260701-0918
601857.SH,中国石油,0.472,2026-06-15,20260701-0918
601868.SH,中国能建,0.135,2026-06-15,20260701-0918
601872.SH,招商轮船,0.2,2026-06-15,20260701-0918
601877.SH,正泰电器,0.107,2026-06-15,20260701-0918
601878.SH,浙商证券,0.094,2026-06-15,20260701-0918
601881.SH,中国银河,0.099,2026-06-15,20260701-0918
601888.SH,中国中免,0.208,2026-06-15,20260701-0918
601898.SH,中煤能源,0.097,2026-06-15,20260701-0918
601899.SH,紫金矿业,1.858,2026-06-15,20260701-0918
601901.SH,方正证券,0.102,2026-06-15,20260701-0918
601916.SH,浙商银行,0.167,2026-06-15,20260701-0918
601919.SH,中远海控,0.327,2026-06-15,20260701-0918
601939.SH,建设银行,0.317,2026-06-15,20260701-0918
601985.SH,中国核电,0.274,2026-06-15,20260701-0918
601988.SH,中国银行,0.316,2026-06-15,20260701-0918
601995.SH,中金公司,0.142,2026-06-15,20260701-0918
601998.SH,中信银行,0.146,2026-06-15,20260701-0918
603019.SH,中科曙光,0.45,2026-06-15,20260701-0918
603259.SH,药明康德,0.885,2026-06-15,20260701-0918
603260.SH,合盛硅业,0.059,2026-06-15,20260701-0918
603288.SH,海天味业,0.205,2026-06-15,20260701-0918
603296.SH,华勤技术,0.155,2026-06-15,20260701-0918
603369.SH,今世缘,0.069,2026-06-15,20260701-0918
603392.SH,万泰生物,0.039,2026-06-15,20260701-0918
603501.SH,豪威集团,0.271,2026-06-15,20260701-0918
603799.SH,华友钴业,0.287,2026-06-15,20260701-0918
603893.SH,瑞芯微,0.129,2026-06-15,20260701-0918
603986.SH,兆易创新,1.245,2026-06-15,20260701-0918
603993.SH,洛阳钼业,0.657,2026-06-15,20260701-0918
605117.SH,德业股份,0.185,2026-06-15,20260701-0918
605499.SH,东鹏饮料,0.125,2026-06-15,20260701-0918
688008.SH,澜起科技,0.991,2026-06-15,20260701-0918
688009.SH,中国通号,0.046,2026-06-15,20260701-0918
688012.SH,中微公司,0.863,2026-06-15,20260701-0918
688036.SH,传音控股,0.111,2026-06-15,20260701-0918
688041.SH,海光信息,1.002,2026-06-15,20260701-0918
688047.SH,龙芯中科,0.103,2026-06-15,20260701-0918
688072.SH,拓荆科技,0.477,2026-06-15,20260701-0918
688082.SH,盛美上海,0.164,2026-06-15,20260701-0918
688111.SH,金山办公,0.182,2026-06-15,20260701-0918
688126.SH,沪硅产业,0.186,2026-06-15,20260701-0918
688183.SH,生益电子,0.159,2026-06-15,20260701-0918
688223.SH,晶科能源,0.077,2026-06-15,20260701-0918
688256.SH,寒武纪,1.51,2026-06-15,20260701-0918
688271.SH,联影医疗,0.202,2026-06-15,20260701-0918
688303.SH,大全能源,0.048,2026-06-15,20260701-0918
688396.SH,华润微,0.132,2026-06-15,20260701-0918
688472.SH,阿特斯,0.059,2026-06-15,20260701-0918
688506.SH,百利天恒,0.07,2026-06-15,20260701-0918
688521.SH,芯原股份,0.359,2026-06-15,20260701-0918
688981.SH,中芯国际,0.94,2026-06-15,20260701-0918
